Category,Item,Status,Details,DateAdded
RESOLVED,Trading with 2 contracts,VERIFIED,API shows contracts=1 - was not an issue with this strategy,2025-12-18
FIXED,NinjaTrader compile errors,RESOLVED,Commented out missing language resource refs in csproj lines 410-417 and AssemblyAttributes line 403,2025-12-18
FIXED,Re-entry on consecutive bars,RESOLVED,Added intendedPosition tracking to prevent UniqueEntries causing exit/re-enter on each bar - see lines 225 and OnExecutionUpdate,2025-12-18
FIXED,Trailing stop not moving,RESOLVED,AdjustStopLoss was using SetStopLoss instead of SetTrailStop - fixed in line ~1950,2025-12-17
FIXED,Dynamic stop loss,IMPLEMENTED,UseDynamicStopLoss + DynamicStopLookback + DynamicStopMultiplier parameters - calculates stop from average bar range,2025-12-17
FIXED,barFlowReport undefined,RESOLVED,_pick_recent_csv was selecting Opportunities CSV instead of main trade log,2025-12-17
API_ENDPOINT,/api/strategy-state,LIVE,GET http://localhost:51888/api/strategy-state - returns live strategy state JSON with all key parameters,2025-12-18
API_ENDPOINT,/api/strategy-params,LIVE,GET http://localhost:51888/api/strategy-params - returns parameter config,2025-12-17
STATE_FILE,BarsOnTheFlow_state.json,LIVE,strategy_state/BarsOnTheFlow_state.json - written every 10 bars by ExportStrategyState(),2025-12-18
STATE_JSON_FIELD,contracts,NUMBER,Current contract size setting (verified = 1),2025-12-18
STATE_JSON_FIELD,positionMarketPosition,STRING,Current position: Flat/Long/Short,2025-12-18
STATE_JSON_FIELD,positionQuantity,NUMBER,Number of contracts currently held,2025-12-18
STATE_JSON_FIELD,intendedPosition,STRING,Intended position state to prevent re-entry bugs,2025-12-18
STATE_JSON_FIELD,stopLossPoints,NUMBER,Stop loss in points,2025-12-18
STATE_JSON_FIELD,useTrailingStop,BOOL,Whether trailing stop is enabled,2025-12-18
STATE_JSON_FIELD,useDynamicStopLoss,BOOL,Whether dynamic stop from candle range is enabled,2025-12-18
STATE_JSON_FIELD,dynamicStopLookback,NUMBER,Number of bars to look back for dynamic stop calc,2025-12-18
STATE_JSON_FIELD,dynamicStopMultiplier,NUMBER,Multiplier for dynamic stop range,2025-12-18
STATE_JSON_FIELD,enableShorts,BOOL,Whether short entries are allowed,2025-12-18
STATE_JSON_FIELD,pendingLongFromBad,BOOL,Whether a pending long entry is waiting,2025-12-18
STATE_JSON_FIELD,pendingShortFromGood,BOOL,Whether a pending short entry is waiting,2025-12-18
STATE_JSON_FIELD,currentBar,NUMBER,Current bar index in backtest/replay,2025-12-18
KEY_PARAMETER,Contracts,VERIFIED=1,User parameter controlling position size - confirmed via API as 1,2025-12-18
KEY_PARAMETER,intendedPosition,TRACKING,Private field at line ~225 tracks intended position to prevent re-entry bugs,2025-12-18
KEY_PARAMETER,UseTrailingStop,SETTING,Must be True for trailing stops - works with UseDynamicStopLoss,2025-12-17
KEY_PARAMETER,UseDynamicStopLoss,SETTING,Must be True for dynamic stop calculation from candle range,2025-12-17
KEY_FILE,BarsOnTheFlow.cs,STRATEGY,Main strategy file ~2800 lines - Strategies folder - includes ExportStrategyState(),2025-12-18
KEY_FILE,server.py,API,FastAPI server port 51888 - serves dashboard + /api/strategy-state endpoint,2025-12-18
KEY_FILE,BarsOnTheFlow_state.json,STATE,strategy_state folder - live strategy state updated every 10 bars,2025-12-18
KEY_FILE,NinjaTrader.Custom.csproj,BUILD,Project file - language resource refs commented out at lines 403-420,2025-12-18
DEBUG_LOG_PREFIX,[EXIT_DEBUG],LOGGING,Shows which exit condition fires,2025-12-17
DEBUG_LOG_PREFIX,[ENTRY],LOGGING,Shows entry attempts with CurrentPos and Contracts,2025-12-17
DEBUG_LOG_PREFIX,[Entry Skip],LOGGING,Shows when entry skipped due to intendedPosition,2025-12-17
DEBUG_LOG_PREFIX,[EXIT_FILL_DEBUG],LOGGING,Shows when exit orders fill - resets intendedPosition,2025-12-18
DEBUG_LOG_PREFIX,[ENTRY_FILL_DEBUG],LOGGING,Shows when entry orders fill - sets intendedPosition,2025-12-18
DEBUG_LOG_PREFIX,[ApplyStopLoss],LOGGING,Shows stop loss calculation and type,2025-12-17
DISCOVERY,UniqueEntries bug,IMPORTANT,EntryHandling.UniqueEntries with EntriesPerDirection=1 causes NT to exit+re-enter when calling EnterLong while already long,2025-12-17
DISCOVERY,Position.MarketPosition timing,IMPORTANT,On first tick of bar with Calculate.OnEachTick the Position state may not reflect filled orders yet,2025-12-17
DISCOVERY,NinjaTrader compile cache,IMPORTANT,NinjaTrader generates resources.cs internally - clearing cache folder doesnt fix duplicate attribute errors,2025-12-18
HOW_TO,Query strategy state,COPILOT,Read strategy_state/BarsOnTheFlow_state.json or call http://localhost:51888/api/strategy-state,2025-12-18
HOW_TO,Check contracts,COPILOT,Look at 'contracts' field in state JSON - currently verified as 1,2025-12-18
HOW_TO,Check position,COPILOT,Look at positionMarketPosition (Flat/Long/Short) and positionQuantity in state JSON,2025-12-18
HOW_TO,Build strategy,COPILOT,Run task 'Build NinjaTrader Custom' or dotnet build NinjaTrader.Custom.csproj -c Debug,2025-12-18
HOW_TO,Start dashboard server,COPILOT,Run task 'Run Dashboard' or python web/dashboard/server.py,2025-12-18
STRATEGY,CBAS_SuperTrendStrategy,ACTIVE,SuperTrend-based strategy with CBAS indicator - uses in-memory bus not HTTP,2025-12-19
COMMUNICATION,CBASTerminalBus,IN-MEMORY,CBAS strategy publishes logs/metrics via Shared/CBASTerminalBus.cs - NOT HTTP to web,2025-12-19
COMMUNICATION,CBASTerminalWindow,NT_ADDON,NinjaTrader AddOn window receives CBASTerminalBus events - AddOns/CBASTerminalWindow.cs,2025-12-19
COMMUNICATION,CBASTerminalRegistry,IN-MEMORY,Strategy registers with CBASTerminalRegistry.Register(InstanceId) for command routing,2025-12-19
COMMUNICATION,CBASTerminalCommands,IN-MEMORY,Terminal commands parsed via CBASTerminalCommands.Parse() - help/toggle/set/testlong/testshort/flat/reverse,2025-12-19
KEY_FILE,CBASSuperTrendStrategy.cs,STRATEGY,Strategies folder - ~4200 lines - A/B leg scale-out with runner trails,2025-12-19
KEY_FILE,CBASTerminalBus.cs,SHARED,Shared folder - in-memory pub/sub bus for strategy-to-addon communication,2025-12-19
KEY_FILE,CBASTerminalWindow.cs,ADDON,AddOns folder - NinjaTrader window UI that receives terminal bus events,2025-12-19
KEY_FILE,CBASTestingIndicator3.cs,INDICATOR,Indicators folder - main CBAS indicator used by strategy,2025-12-19
