NinjaScript File,Error,Code,Line,Column,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyCopyrightAttribute' attribute,CS0579,13,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyFileVersionAttribute' attribute,CS0579,14,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyInformationalVersionAttribute' attribute,CS0579,15,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyTitleAttribute' attribute,CS0579,16,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyVersionAttribute' attribute,CS0579,17,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyCultureAttribute' attribute,CS0579,18,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyCopyrightAttribute' attribute,CS0579,13,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyFileVersionAttribute' attribute,CS0579,14,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyInformationalVersionAttribute' attribute,CS0579,15,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyTitleAttribute' attribute,CS0579,16,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyVersionAttribute' attribute,CS0579,17,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyCultureAttribute' attribute,CS0579,18,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyCopyrightAttribute' attribute,CS0579,13,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyFileVersionAttribute' attribute,CS0579,14,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyInformationalVersionAttribute' attribute,CS0579,15,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyTitleAttribute' attribute,CS0579,16,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyVersionAttribute' attribute,CS0579,17,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyCultureAttribute' attribute,CS0579,18,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyCopyrightAttribute' attribute,CS0579,13,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyFileVersionAttribute' attribute,CS0579,14,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyInformationalVersionAttribute' attribute,CS0579,15,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyTitleAttribute' attribute,CS0579,16,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyVersionAttribute' attribute,CS0579,17,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyCultureAttribute' attribute,CS0579,18,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyCopyrightAttribute' attribute,CS0579,13,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyFileVersionAttribute' attribute,CS0579,14,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyInformationalVersionAttribute' attribute,CS0579,15,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyTitleAttribute' attribute,CS0579,16,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyVersionAttribute' attribute,CS0579,17,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyCultureAttribute' attribute,CS0579,18,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyCopyrightAttribute' attribute,CS0579,13,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyFileVersionAttribute' attribute,CS0579,14,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyInformationalVersionAttribute' attribute,CS0579,15,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyTitleAttribute' attribute,CS0579,16,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyVersionAttribute' attribute,CS0579,17,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyCultureAttribute' attribute,CS0579,18,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyCopyrightAttribute' attribute,CS0579,13,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyFileVersionAttribute' attribute,CS0579,14,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyInformationalVersionAttribute' attribute,CS0579,15,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyTitleAttribute' attribute,CS0579,16,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyVersionAttribute' attribute,CS0579,17,12,
NinjaTrader\Custom\resources.cs,Duplicate 'System.Reflection.AssemblyCultureAttribute' attribute,CS0579,18,12,
AssemblyInfo.cs,Duplicate 'AssemblyTitle' attribute,CS0579,6,12,
AssemblyInfo.cs,Duplicate 'AssemblyCopyright' attribute,CS0579,11,12,
AssemblyInfo.cs,Duplicate 'AssemblyCulture' attribute,CS0579,13,12,
AssemblyInfo.cs,Duplicate 'AssemblyVersion' attribute,CS0579,21,12,
