long_threshold,short_threshold,long_trades,long_wins,long_win_rate,long_skipped,short_trades,short_wins,short_win_rate,short_skipped,total_trades,total_wins,overall_win_rate,total_skipped,avg_return
0.2,0.2,93,70,75.26881720430107,3,92,76,82.6086956521739,2,185,146,78.91891891891892,5,0.04797219201593636
0.2,0.4,93,70,75.26881720430107,3,89,73,82.02247191011236,5,182,143,78.57142857142857,8,0.04807134320939714
0.4,0.2,90,67,74.44444444444444,6,92,76,82.6086956521739,2,182,143,78.57142857142857,8,0.0483510500486212
0.2,1.0,93,70,75.26881720430107,3,77,63,81.81818181818183,17,170,133,78.23529411764706,20,0.04634607993252466
0.2,0.6,93,70,75.26881720430107,3,86,70,81.3953488372093,8,179,140,78.2122905027933,11,0.0482461243033827
0.4,0.4,90,67,74.44444444444444,6,89,73,82.02247191011236,5,179,140,78.2122905027933,11,0.04845821256989446
0.6,0.2,82,60,73.17073170731707,14,92,76,82.6086956521739,2,174,136,78.16091954022988,16,0.047307833969223397
0.2,0.8,93,70,75.26881720430107,3,84,68,80.95238095238095,10,177,138,77.96610169491525,13,0.04836777570463248
0.4,1.0,90,67,74.44444444444444,6,77,63,81.81818181818183,17,167,130,77.84431137724552,23,0.04672975553550911
0.4,0.6,90,67,74.44444444444444,6,86,70,81.3953488372093,8,176,137,77.8409090909091,14,0.04864256725117235
0.6,0.4,82,60,73.17073170731707,14,89,73,82.02247191011236,5,171,133,77.77777777777779,19,0.04740170790530364
0.8,0.2,79,57,72.15189873417721,17,92,76,82.6086956521739,2,171,133,77.77777777777779,19,0.04772155186390244
0.4,0.8,90,67,74.44444444444444,6,84,68,80.95238095238095,10,174,135,77.58620689655173,16,0.04877087290586655
1.0,0.2,72,51,70.83333333333334,24,92,76,82.6086956521739,2,164,127,77.4390243902439,26,0.047843349503901934
0.6,0.6,82,60,73.17073170731707,14,86,70,81.3953488372093,8,168,130,77.38095238095238,22,0.04757597522620326
0.8,0.4,79,57,72.15189873417721,17,89,73,82.02247191011236,5,168,130,77.38095238095238,22,0.04782448993981766
0.6,1.0,82,60,73.17073170731707,14,77,63,81.81818181818183,17,159,123,77.35849056603774,31,0.04550654827814991
0.6,0.8,82,60,73.17073170731707,14,84,68,80.95238095238095,10,166,128,77.10843373493977,24,0.04769761377961803
1.0,0.4,72,51,70.83333333333334,24,89,73,82.02247191011236,5,161,124,77.01863354037268,29,0.04795303266957744
0.8,0.6,79,57,72.15189873417721,17,86,70,81.3953488372093,8,165,127,76.96969696969697,25,0.04800961270354299
0.8,1.0,79,57,72.15189873417721,17,77,63,81.81818181818183,17,156,120,76.92307692307693,34,0.045925406630181284
0.8,0.8,79,57,72.15189873417721,17,84,68,80.95238095238095,10,163,125,76.68711656441718,27,0.04813881070858306
1.0,0.6,72,51,70.83333333333334,24,86,70,81.3953488372093,8,158,121,76.58227848101265,32,0.048148797759475906
1.0,1.0,72,51,70.83333333333334,24,77,63,81.81818181818183,17,149,114,76.51006711409396,41,0.04597508311557638
1.0,0.8,72,51,70.83333333333334,24,84,68,80.95238095238095,10,156,119,76.28205128205127,34,0.04828557753468999
