timestamp,event,CurrentBar,EnableLogging,LogDrawnSignals,LogFolder,logInitialized,signalDrawInitialized,State,Instrument,AdditionalInfo
2025-11-18 01:23:37.701,InitDebugLogger_Success,0,True,True,null,True,True,Historical,MNQ 12-25,{debugLogPath=c:\Mac\Home\Documents\NinjaTrader 8\bin\Custom\indicators_log\CBASTestingIndicator3_DEBUG_2025-11-18_01-23-37.csv; LogFolder=null; EnableLogging=True; LogDrawnSignals=True}
2025-11-18 01:23:37.794,FlushCachedBar_Called,1,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=0; CurrentBar=1}
2025-11-18 01:23:37.795,FlushCachedBar_Logging,1,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=0}
2025-11-18 01:23:37.831,FlushCachedBar_Called,2,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=1; CurrentBar=2}
2025-11-18 01:23:37.831,FlushCachedBar_Logging,2,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=1}
2025-11-18 01:23:37.872,FlushCachedBar_Called,3,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=2; CurrentBar=3}
2025-11-18 01:23:37.874,FlushCachedBar_Logging,3,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=2}
2025-11-18 01:23:37.901,FlushCachedBar_Called,4,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=3; CurrentBar=4}
2025-11-18 01:23:37.901,FlushCachedBar_Logging,4,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=3}
2025-11-18 01:23:37.937,FlushCachedBar_Called,5,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=4; CurrentBar=5}
