ts_local,event_type,bar_index,signal_type,action_reason,notes
2025-11-17 01:12:00.000,PLOT,23,BULL,Triangle drawn on chart,netflow=2.64
2025-11-17 01:12:30.000,LOGGED,24,BULL,Written to signals CSV,"price=25095.75,netflow=2.64"
2025-11-17 01:51:00.000,PLOT,101,BEAR,Triangle drawn on chart,netflow=0.07
2025-11-17 01:51:30.000,LOGGED,102,BEAR,Written to signals CSV,"price=25166.00,netflow=0.07"
2025-11-17 01:51:30.000,PLOT,102,BULL,Triangle drawn on chart,netflow=0.10
2025-11-17 01:52:00.000,LOGGED,103,BULL,Written to signals CSV,"price=25168.00,netflow=0.10"
2025-11-17 01:52:00.000,PLOT,103,BEAR,Triangle drawn on chart,netflow=-1.00
2025-11-17 01:52:30.000,LOGGED,104,BEAR,Written to signals CSV,"price=25165.50,netflow=-1.00"
2025-11-17 01:52:30.000,PLOT,104,BULL,Triangle drawn on chart,netflow=1.77
2025-11-17 01:53:00.000,LOGGED,105,BULL,Written to signals CSV,"price=25172.75,netflow=1.77"
2025-11-17 01:54:00.000,PLOT,107,BEAR,Triangle drawn on chart,netflow=-1.00
2025-11-17 01:54:30.000,LOGGED,108,BEAR,Written to signals CSV,"price=25167.25,netflow=-1.00"
2025-11-17 01:54:30.000,PLOT,108,BULL,Triangle drawn on chart,netflow=3.01
2025-11-17 01:55:00.000,LOGGED,109,BULL,Written to signals CSV,"price=25176.75,netflow=3.01"
2025-11-17 02:07:30.000,PLOT,134,BEAR,Triangle drawn on chart,netflow=-2.00
2025-11-17 02:08:00.000,LOGGED,135,BEAR,Written to signals CSV,"price=25165.00,netflow=-2.00"
2025-11-17 02:28:30.000,PLOT,176,BULL,Triangle drawn on chart,netflow=1.84
2025-11-17 02:29:00.000,LOGGED,177,BULL,Written to signals CSV,"price=25157.75,netflow=1.84"
2025-11-17 03:02:30.000,PLOT,244,BEAR,Triangle drawn on chart,netflow=0.00
2025-11-17 03:03:00.000,LOGGED,245,BEAR,Written to signals CSV,"price=25222.50,netflow=0.00"
2025-11-17 03:11:30.000,PLOT,262,BULL,Triangle drawn on chart,netflow=1.82
2025-11-17 03:12:00.000,LOGGED,263,BULL,Written to signals CSV,"price=25230.75,netflow=1.82"
2025-11-17 03:12:30.000,PLOT,264,BEAR,Triangle drawn on chart,netflow=1.93
2025-11-17 03:13:00.000,LOGGED,265,BEAR,Written to signals CSV,"price=25227.25,netflow=1.93"
2025-11-17 03:13:00.000,PLOT,265,BULL,Triangle drawn on chart,netflow=3.49
2025-11-17 03:13:30.000,LOGGED,266,BULL,Written to signals CSV,"price=25237.25,netflow=3.49"
2025-11-17 03:31:00.000,PLOT,301,BEAR,Triangle drawn on chart,netflow=-0.50
2025-11-17 03:31:30.000,LOGGED,302,BEAR,Written to signals CSV,"price=25236.75,netflow=-0.50"
2025-11-17 03:38:00.000,PLOT,315,BULL,Triangle drawn on chart,netflow=1.00
2025-11-17 03:38:30.000,LOGGED,316,BULL,Written to signals CSV,"price=25243.25,netflow=1.00"
2025-11-17 03:39:00.000,PLOT,317,BEAR,Triangle drawn on chart,netflow=0.50
2025-11-17 03:39:30.000,LOGGED,318,BEAR,Written to signals CSV,"price=25239.00,netflow=0.50"
2025-11-17 03:40:00.000,PLOT,319,BULL,Triangle drawn on chart,netflow=-1.00
2025-11-17 03:40:30.000,LOGGED,320,BULL,Written to signals CSV,"price=25235.50,netflow=-1.00"
