ts_local,bar_time_utc,bar_index,instrument,signal_type,price,supertrend,volume,netflow,ema_color_hist
2025-11-17 01:12:30.000,2025-11-17T07:12:30.0000000Z,24,MNQ 12-25,BULL,25095.75,25095.75,1,2.642952165064651,9_9_9
2025-11-17 01:51:30.000,2025-11-17T07:51:30.0000000Z,102,MNQ 12-25,BEAR,25166,25166,1,0.074927227306462063,3_3_4
2025-11-17 01:52:00.000,2025-11-17T07:52:00.0000000Z,103,MNQ 12-25,BULL,25168,25168,1,0.095959492551064507,6_6_6
2025-11-17 01:52:30.000,2025-11-17T07:52:30.0000000Z,104,MNQ 12-25,BEAR,25165.5,25165.5,1,-1,3_3_3
2025-11-17 01:53:00.000,2025-11-17T07:53:00.0000000Z,105,MNQ 12-25,BULL,25172.75,25172.75,1,1.7741675748747858,15_15_15
2025-11-17 01:54:30.000,2025-11-17T07:54:30.0000000Z,108,MNQ 12-25,BEAR,25167.25,25167.25,1,-1,5_5_4
2025-11-17 01:55:00.000,2025-11-17T07:55:00.0000000Z,109,MNQ 12-25,BULL,25176.75,25176.75,1,3.0135288447001956,15_15_15
2025-11-17 02:08:00.000,2025-11-17T08:08:00.0000000Z,135,MNQ 12-25,BEAR,25165,25165,1,-2,0_0_0
2025-11-17 02:29:00.000,2025-11-17T08:29:00.0000000Z,177,MNQ 12-25,BULL,25157.75,25157.75,1,1.8384205014296491,15_15_15
2025-11-17 03:03:00.000,2025-11-17T09:03:00.0000000Z,245,MNQ 12-25,BEAR,25222.5,25222.5,1,0,0_0_0
2025-11-17 03:12:00.000,2025-11-17T09:12:00.0000000Z,263,MNQ 12-25,BULL,25230.75,25230.75,1,1.8189707236236483,15_15_15
2025-11-17 03:13:00.000,2025-11-17T09:13:00.0000000Z,265,MNQ 12-25,BEAR,25227.25,25227.25,1,1.926160948658342,7_3_3
2025-11-17 03:13:30.000,2025-11-17T09:13:30.0000000Z,266,MNQ 12-25,BULL,25237.25,25237.25,1,3.486403016113472,15_15_15
2025-11-17 03:31:30.000,2025-11-17T09:31:30.0000000Z,302,MNQ 12-25,BEAR,25236.75,25236.75,1,-0.5,0_0_0
2025-11-17 03:38:30.000,2025-11-17T09:38:30.0000000Z,316,MNQ 12-25,BULL,25243.25,25243.25,1,1,15_15_15
2025-11-17 03:39:30.000,2025-11-17T09:39:30.0000000Z,318,MNQ 12-25,BEAR,25239,25239,1,0.5,0_0_0
2025-11-17 03:40:30.000,2025-11-17T09:40:30.0000000Z,320,MNQ 12-25,BULL,25235.5,25235.5,1,-1,0_0_0
2025-11-17 03:41:00.000,2025-11-17T09:41:00.0000000Z,321,MNQ 12-25,BEAR,25238.5,25238.5,1,1,0_0_0
2025-11-17 04:06:30.000,2025-11-17T10:06:30.0000000Z,372,MNQ 12-25,BULL,25216,25216,1,3.3080914353957755,10_10_10
2025-11-17 04:22:00.000,2025-11-17T10:22:00.0000000Z,403,MNQ 12-25,BEAR,25231.5,25231.5,1,0.4059145992236286,0_0_0
2025-11-17 04:22:30.000,2025-11-17T10:22:30.0000000Z,404,MNQ 12-25,BULL,25236.75,25236.75,1,1.0349128334309778,8_8_8
2025-11-17 04:24:00.000,2025-11-17T10:24:00.0000000Z,407,MNQ 12-25,BEAR,25232.75,25232.75,1,0.50440935548869215,0_0_0
2025-11-17 04:39:00.000,2025-11-17T10:39:00.0000000Z,437,MNQ 12-25,BULL,25222.5,25222.5,1,3.5192980777131613,6_7_9
2025-11-17 04:42:30.000,2025-11-17T10:42:30.0000000Z,444,MNQ 12-25,BEAR,25225.5,25225.5,1,2.4971091339758686,13_10_14
2025-11-17 04:43:00.000,2025-11-17T10:43:00.0000000Z,445,MNQ 12-25,BULL,25225.75,25225.75,1,2.5294522003837425,14_14_14
2025-11-17 04:43:30.000,2025-11-17T10:43:30.0000000Z,446,MNQ 12-25,BEAR,25219.75,25219.75,1,2.0016344826994028,0_0_0
2025-11-17 04:46:00.000,2025-11-17T10:46:00.0000000Z,451,MNQ 12-25,BULL,25222.25,25222.25,2,1.1020645844013774,0_0_0
2025-11-17 04:46:30.000,2025-11-17T10:46:30.0000000Z,452,MNQ 12-25,BEAR,25223.75,25223.75,1,1.2110545604162368,0_0_0
2025-11-17 04:47:30.000,2025-11-17T10:47:30.0000000Z,454,MNQ 12-25,BULL,25223,25223,1,1.2921113056042755,0_0_0
2025-11-17 04:48:00.000,2025-11-17T10:48:00.0000000Z,455,MNQ 12-25,BEAR,25223.75,25223.75,1,1.361923583713943,0_0_0
2025-11-17 04:49:00.000,2025-11-17T10:49:00.0000000Z,457,MNQ 12-25,BULL,25228.25,25228.25,1,2.3230738308192076,15_15_15
2025-11-17 04:49:30.000,2025-11-17T10:49:30.0000000Z,458,MNQ 12-25,BEAR,25226,25226,1,1.7218102759149136,13_13_13
2025-11-17 04:50:00.000,2025-11-17T10:50:00.0000000Z,459,MNQ 12-25,BULL,25229,25229,1,2.4578302693450973,15_15_15
2025-11-17 05:20:00.000,2025-11-17T11:20:00.0000000Z,519,MNQ 12-25,BEAR,25255,25255,1,2,0_0_0
2025-11-17 05:22:00.000,2025-11-17T11:22:00.0000000Z,523,MNQ 12-25,BULL,25258.75,25258.75,1,1,3_3_3
2025-11-17 05:24:30.000,2025-11-17T11:24:30.0000000Z,528,MNQ 12-25,BEAR,25257.5,25257.5,1,0.5,0_0_0
2025-11-17 05:40:00.000,2025-11-17T11:40:00.0000000Z,559,MNQ 12-25,BULL,25245.25,25245.25,1,1.5,0_0_0
2025-11-17 05:40:30.000,2025-11-17T11:40:30.0000000Z,560,MNQ 12-25,BEAR,25244.25,25244.25,1,0.5,0_0_0
2025-11-17 05:42:00.000,2025-11-17T11:42:00.0000000Z,563,MNQ 12-25,BULL,25250.25,25250.25,1,1.8997117644430745,15_15_15
2025-11-17 05:42:30.000,2025-11-17T11:42:30.0000000Z,564,MNQ 12-25,BEAR,25247.5,25247.5,1,1.8114084884325923,0_0_0
2025-11-17 05:45:00.000,2025-11-17T11:45:00.0000000Z,569,MNQ 12-25,BULL,25251,25251,1,4.2878932550408555,15_15_15
2025-11-17 05:46:00.000,2025-11-17T11:46:00.0000000Z,571,MNQ 12-25,BEAR,25247.75,25247.75,1,3.9272652476712393,0_0_0
2025-11-17 05:46:30.000,2025-11-17T11:46:30.0000000Z,572,MNQ 12-25,BULL,25249.25,25249.25,1,4.1061589844096735,15_15_7
2025-11-17 05:47:00.000,2025-11-17T11:47:00.0000000Z,573,MNQ 12-25,BEAR,25244,25244,1,2.095652965926794,0_0_0
2025-11-17 05:47:30.000,2025-11-17T11:47:30.0000000Z,574,MNQ 12-25,BULL,25250.5,25250.5,1,4.0175347456941228,12_12_15
2025-11-17 05:48:30.000,2025-11-17T11:48:30.0000000Z,576,MNQ 12-25,BEAR,25252,25252,1,4.3060362578318827,15_15_15
2025-11-17 05:49:00.000,2025-11-17T11:49:00.0000000Z,577,MNQ 12-25,BULL,25254.25,25254.25,1,4.5823359673133055,15_15_15
2025-11-17 06:32:30.000,2025-11-17T12:32:30.0000000Z,664,MNQ 12-25,BEAR,25275.25,25275.25,1,0.62106720248426672,0_0_0
2025-11-17 06:43:30.000,2025-11-17T12:43:30.0000000Z,686,MNQ 12-25,BULL,25278.5,25278.5,1,2.0031308283075844,15_15_15
2025-11-17 06:44:00.000,2025-11-17T12:44:00.0000000Z,687,MNQ 12-25,BEAR,25278.25,25278.25,1,3.6309313551449076,15_15_15
2025-11-17 06:44:30.000,2025-11-17T12:44:30.0000000Z,688,MNQ 12-25,BULL,25276.75,25276.75,1,3.0478595030684024,7_7_7
2025-11-17 06:45:00.000,2025-11-17T12:45:00.0000000Z,689,MNQ 12-25,BEAR,25274.5,25274.5,1,2.2742215196788296,0_0_0
2025-11-17 06:46:30.000,2025-11-17T12:46:30.0000000Z,692,MNQ 12-25,BULL,25279,25279,1,4.200959789539942,15_15_15
2025-11-17 06:47:30.000,2025-11-17T12:47:30.0000000Z,694,MNQ 12-25,BEAR,25277,25277,1,3.0368632362608476,3_2_6
2025-11-17 06:48:00.000,2025-11-17T12:48:00.0000000Z,695,MNQ 12-25,BULL,25280,25280,1,4.3929565793210772,15_15_15
2025-11-17 06:49:00.000,2025-11-17T12:49:00.0000000Z,697,MNQ 12-25,BEAR,25277,25277,1,2.6219897964230001,7_7_3
