ts_local,bar_time_utc,bar_index,instrument,signal_type,price,supertrend,volume,netflow,ema_color_hist
2025-11-18 01:06:30.000,2025-11-18T07:06:30.0000000Z,12,MNQ 12-25,BULL,24949.25,24949.25,1,4.5,15_15_15
2025-11-18 01:12:00.000,2025-11-18T07:12:00.0000000Z,23,MNQ 12-25,BEAR,24915.25,24915.25,1,-0.5,0_0_0
2025-11-18 01:25:30.000,2025-11-18T07:25:30.0000000Z,50,MNQ 12-25,BULL,24910.5,24910.5,1,2.1276302032546637,12_12_12
2025-11-18 01:31:30.000,2025-11-18T07:31:30.0000000Z,62,MNQ 12-25,BEAR,24918.5,24918.5,1,1.3068230502716993,11_11_11
2025-11-18 01:32:00.000,2025-11-18T07:32:00.0000000Z,63,MNQ 12-25,BULL,24918.5,24918.5,1,1.2056854299993636,12_12_11
2025-11-18 01:32:30.000,2025-11-18T07:32:30.0000000Z,64,MNQ 12-25,BEAR,24918.75,24918.75,1,1.1061044556868014,10_10_11
2025-11-18 01:34:30.000,2025-11-18T07:34:30.0000000Z,68,MNQ 12-25,BULL,24922.5,24922.5,1,1.8661789547848442,15_15_15
2025-11-18 01:35:30.000,2025-11-18T07:35:30.0000000Z,70,MNQ 12-25,BEAR,24920.5,24920.5,1,0.28148361805670441,11_12_11
2025-11-18 01:36:00.000,2025-11-18T07:36:00.0000000Z,71,MNQ 12-25,BULL,24921.75,24921.75,1,1.8255536381353759,14_13_13
2025-11-18 01:37:00.000,2025-11-18T07:37:00.0000000Z,73,MNQ 12-25,BEAR,24919.75,24919.75,1,2.1957506805918166,6_6_7
2025-11-18 01:37:30.000,2025-11-18T07:37:30.0000000Z,74,MNQ 12-25,BULL,24925.25,24925.25,1,3.9224016970186426,15_15_15
2025-11-18 01:53:00.000,2025-11-18T07:53:00.0000000Z,105,MNQ 12-25,BEAR,24910.5,24910.5,1,0,0_0_0
2025-11-18 01:58:30.000,2025-11-18T07:58:30.0000000Z,116,MNQ 12-25,BULL,24918,24918,1,-0.5,0_0_2
2025-11-18 02:17:30.000,2025-11-18T08:17:30.0000000Z,154,MNQ 12-25,BEAR,24903.5,24903.5,1,-2,0_0_0
2025-11-18 02:49:00.000,2025-11-18T08:49:00.0000000Z,217,MNQ 12-25,BULL,24881.5,24881.5,1,2.5,15_15_15
2025-11-18 02:58:30.000,2025-11-18T08:58:30.0000000Z,236,MNQ 12-25,BEAR,24872.75,24872.75,1,-1.2778044859939115,0_0_0
2025-11-18 03:07:30.000,2025-11-18T09:07:30.0000000Z,254,MNQ 12-25,BULL,24897.25,24897.25,1,1.8256535228943216,15_15_15
2025-11-18 03:28:30.000,2025-11-18T09:28:30.0000000Z,296,MNQ 12-25,BEAR,24926.5,24926.5,1,0.5,3_3_3
2025-11-18 03:32:30.000,2025-11-18T09:32:30.0000000Z,304,MNQ 12-25,BULL,24926.75,24926.75,1,1.5,8_6_6
2025-11-18 03:33:00.000,2025-11-18T09:33:00.0000000Z,305,MNQ 12-25,BEAR,24916,24916,1,1,0_0_0
2025-11-18 03:34:30.000,2025-11-18T09:34:30.0000000Z,308,MNQ 12-25,BULL,24923.75,24923.75,1,2,2_2_2
2025-11-18 03:35:00.000,2025-11-18T09:35:00.0000000Z,309,MNQ 12-25,BEAR,24926,24926,1,2.5,9_9_7
2025-11-18 03:35:30.000,2025-11-18T09:35:30.0000000Z,310,MNQ 12-25,BULL,24923.75,24923.75,1,2,2_3_2
2025-11-18 03:36:00.000,2025-11-18T09:36:00.0000000Z,311,MNQ 12-25,BEAR,24921,24921,1,2,0_0_0
2025-11-18 03:36:30.000,2025-11-18T09:36:30.0000000Z,312,MNQ 12-25,BULL,24934.75,24934.75,1,4.31576616854852,15_15_15
2025-11-18 03:38:30.000,2025-11-18T09:38:30.0000000Z,316,MNQ 12-25,BEAR,24923.25,24923.25,1,2.3168114018276174,0_0_0
2025-11-18 03:39:00.000,2025-11-18T09:39:00.0000000Z,317,MNQ 12-25,BULL,24930.25,24930.25,1,4.010574938932713,8_8_7
2025-11-18 03:39:30.000,2025-11-18T09:39:30.0000000Z,318,MNQ 12-25,BEAR,24933.5,24933.5,1,3.6548623245031804,14_14_15
2025-11-18 03:40:00.000,2025-11-18T09:40:00.0000000Z,319,MNQ 12-25,BULL,24935.5,24935.5,1,3.7815176651261115,15_15_15
2025-11-18 03:41:00.000,2025-11-18T09:41:00.0000000Z,321,MNQ 12-25,BEAR,24931.75,24931.75,1,3.5819345680136259,9_9_7
2025-11-18 03:41:30.000,2025-11-18T09:41:30.0000000Z,322,MNQ 12-25,BULL,24940.25,24940.25,1,3.9491766504082246,15_15_15
2025-11-18 03:59:00.000,2025-11-18T09:59:00.0000000Z,357,MNQ 12-25,BEAR,24937.5,24937.5,1,-1,0_0_0
2025-11-18 04:10:30.000,2025-11-18T10:10:30.0000000Z,380,MNQ 12-25,BULL,24936,24936,1,2.5,9_12_10
2025-11-18 04:11:00.000,2025-11-18T10:11:00.0000000Z,381,MNQ 12-25,BEAR,24944,24944,1,4.9270883454226357,15_15_15
2025-11-18 04:11:30.000,2025-11-18T10:11:30.0000000Z,382,MNQ 12-25,BULL,24948.5,24948.5,1,5.51159205365368,15_15_15
2025-11-18 04:13:00.000,2025-11-18T10:13:00.0000000Z,385,MNQ 12-25,BEAR,24931.25,24931.25,1,1.8826383307545118,0_0_0
2025-11-18 04:17:00.000,2025-11-18T10:17:00.0000000Z,393,MNQ 12-25,BULL,24928.75,24928.75,1,0.5,0_0_0
2025-11-18 04:17:30.000,2025-11-18T10:17:30.0000000Z,394,MNQ 12-25,BEAR,24923.75,24923.75,1,-1,0_0_0
2025-11-18 04:22:00.000,2025-11-18T10:22:00.0000000Z,403,MNQ 12-25,BULL,24933.25,24933.25,1,1.5,15_15_15
2025-11-18 04:22:30.000,2025-11-18T10:22:30.0000000Z,404,MNQ 12-25,BEAR,24933.75,24933.75,1,2.5539696832208523,15_15_15
2025-11-18 04:23:00.000,2025-11-18T10:23:00.0000000Z,405,MNQ 12-25,BULL,24931,24931,1,2.1444486978143393,9_8_10
2025-11-18 04:26:30.000,2025-11-18T10:26:30.0000000Z,412,MNQ 12-25,BEAR,24920.25,24920.25,1,-2.5,0_0_0
2025-11-18 04:33:00.000,2025-11-18T10:33:00.0000000Z,425,MNQ 12-25,BULL,24929.25,24929.25,1,2.1925705942841072,0_0_0
2025-11-18 04:33:30.000,2025-11-18T10:33:30.0000000Z,426,MNQ 12-25,BEAR,24920.25,24920.25,1,-2,0_0_0
2025-11-18 06:36:00.000,2025-11-18T12:36:00.0000000Z,671,MNQ 12-25,BULL,24685,24685,1,0.88357828070865141,11_11_11
2025-11-18 06:36:30.000,2025-11-18T12:36:30.0000000Z,672,MNQ 12-25,BEAR,24673.25,24673.25,1,-0.54506561066727199,0_0_0
2025-11-18 06:44:30.000,2025-11-18T12:44:30.0000000Z,688,MNQ 12-25,BULL,24691,24691,1,1.3417850284057318,15_15_15
2025-11-18 06:47:30.000,2025-11-18T12:47:30.0000000Z,694,MNQ 12-25,BEAR,24684.25,24684.25,2,0.19779781403273677,0_0_0
2025-11-18 06:49:30.000,2025-11-18T12:49:30.0000000Z,698,MNQ 12-25,BULL,24694.25,24694.25,1,1.6662418948237381,13_13_15
2025-11-18 06:50:00.000,2025-11-18T12:50:00.0000000Z,699,MNQ 12-25,BEAR,24693.5,24693.5,1,1.1709612794390472,12_11_13
2025-11-18 06:51:30.000,2025-11-18T12:51:30.0000000Z,702,MNQ 12-25,BULL,24712.5,24712.5,1,2.0614765837439979,15_15_15
2025-11-18 07:03:30.000,2025-11-18T13:03:30.0000000Z,726,MNQ 12-25,BEAR,24701.5,24701.5,1,-2,0_0_0
2025-11-18 07:09:00.000,2025-11-18T13:09:00.0000000Z,737,MNQ 12-25,BULL,24746.5,24746.5,1,2.6598480784702314,15_15_15
2025-11-18 07:17:30.000,2025-11-18T13:17:30.0000000Z,754,MNQ 12-25,BEAR,24739.75,24739.75,1,-0.17824571815989021,5_5_5
2025-11-18 07:18:00.000,2025-11-18T13:18:00.0000000Z,755,MNQ 12-25,BULL,24743.25,24743.25,1,-0.76473781196094937,7_7_8
2025-11-18 07:19:00.000,2025-11-18T13:19:00.0000000Z,757,MNQ 12-25,BEAR,24739,24739,1,-1.1616840164841202,3_3_3
2025-11-18 07:19:30.000,2025-11-18T13:19:30.0000000Z,758,MNQ 12-25,BULL,24741.25,24741.25,1,-1.7349325807741083,5_5_5
2025-11-18 07:20:00.000,2025-11-18T13:20:00.0000000Z,759,MNQ 12-25,BEAR,24749,24749,1,0.026814703041553756,11_11_11
2025-11-18 07:20:30.000,2025-11-18T13:20:30.0000000Z,760,MNQ 12-25,BULL,24753.5,24753.5,1,0.28586866219948792,15_15_15
2025-11-18 07:22:30.000,2025-11-18T13:22:30.0000000Z,764,MNQ 12-25,BEAR,24756.5,24756.5,1,0.61327730086044907,14_14_14
