ts_local,bar_time_utc,bar_index,instrument,signal_type,price,supertrend,volume,netflow,ema_color_hist
2025-11-14 01:06:00.000,2025-11-14T07:06:00.0000000Z,11,MNQ 12-25,BULL,25133.75,25133.75,1,3.3228041580903822,15_15_15
2025-11-14 01:39:00.000,2025-11-14T07:39:00.0000000Z,77,MNQ 12-25,BEAR,25131,25131,1,-4,0_0_0
2025-11-14 02:13:00.000,2025-11-14T08:13:00.0000000Z,145,MNQ 12-25,BULL,25119.75,25119.75,1,3.5132152321699133,15_15_15
2025-11-14 02:52:00.000,2025-11-14T08:52:00.0000000Z,223,MNQ 12-25,BEAR,25114.25,25114.25,1,-4,0_0_0
2025-11-14 03:02:30.000,2025-11-14T09:02:30.0000000Z,244,MNQ 12-25,BULL,25118,25118,1,2,11_9_9
2025-11-14 05:32:30.000,2025-11-14T11:32:30.0000000Z,544,MNQ 12-25,BEAR,25129.5,25129.5,1,-4,0_0_0
2025-11-14 06:01:30.000,2025-11-14T12:01:30.0000000Z,602,MNQ 12-25,BULL,25117.25,25117.25,1,1.7866744265124539,12_12_12
2025-11-14 06:02:30.000,2025-11-14T12:02:30.0000000Z,604,MNQ 12-25,BEAR,25105.75,25105.75,1,-2.5,0_0_0
2025-11-14 06:35:30.000,2025-11-14T12:35:30.0000000Z,670,MNQ 12-25,BULL,25067.25,25067.25,1,3.0352486395561176,8_8_9
2025-11-14 06:54:30.000,2025-11-14T12:54:30.0000000Z,708,MNQ 12-25,BEAR,25051.5,25051.5,1,-4,0_0_0
2025-11-14 07:23:00.000,2025-11-14T13:23:00.0000000Z,765,MNQ 12-25,BULL,25037.5,25037.5,1,1.4664291962524358,15_15_15
2025-11-14 08:09:30.000,2025-11-14T14:09:30.0000000Z,858,MNQ 12-25,BEAR,25086.5,25086.5,1,-4,0_0_0
2025-11-14 08:56:30.000,2025-11-14T14:56:30.0000000Z,952,MNQ 12-25,BULL,25054,25054,1,1.1458689161953073,15_15_15
2025-11-14 09:04:30.000,2025-11-14T15:04:30.0000000Z,968,MNQ 12-25,BEAR,25041.25,25041.25,1,-4,0_0_0
2025-11-14 09:34:00.000,2025-11-14T15:34:00.0000000Z,1027,MNQ 12-25,BULL,24986.25,24986.25,1,1.062054251021185,15_15_15
2025-11-14 10:00:00.000,2025-11-14T16:00:00.0000000Z,1079,MNQ 12-25,BEAR,24991.25,24991.25,1,-4,0_0_0
2025-11-14 10:55:30.000,2025-11-14T16:55:30.0000000Z,1190,MNQ 12-25,BULL,24961,24961,1,1.394104440076021,15_15_15
2025-11-14 11:14:30.000,2025-11-14T17:14:30.0000000Z,1228,MNQ 12-25,BEAR,24997.75,24997.75,1,-4,3_3_3
2025-11-14 11:44:30.000,2025-11-14T17:44:30.0000000Z,1288,MNQ 12-25,BULL,24971.75,24971.75,1,2.1202199520321496,7_6_8
2025-11-14 11:56:30.000,2025-11-14T17:56:30.0000000Z,1312,MNQ 12-25,BEAR,24949,24949,1,-3.5,0_0_0
2025-11-14 12:07:30.000,2025-11-14T18:07:30.0000000Z,1334,MNQ 12-25,BULL,24959.25,24959.25,1,1.0612109507225371,15_15_15
2025-11-14 13:06:00.000,2025-11-14T19:06:00.0000000Z,1451,MNQ 12-25,BEAR,24918.5,24918.5,1,-3,0_0_0
2025-11-14 13:59:30.000,2025-11-14T19:59:30.0000000Z,1558,MNQ 12-25,BULL,24825.5,24825.5,1,1.1186565939885922,15_15_15
2025-11-14 14:04:00.000,2025-11-14T20:04:00.0000000Z,1567,MNQ 12-25,BEAR,24790,24790,1,-4,0_0_0
2025-11-14 14:52:30.000,2025-11-14T20:52:30.0000000Z,1664,MNQ 12-25,BULL,24726.75,24726.75,1,1.0407335690023367,15_15_15
2025-11-14 15:12:30.000,2025-11-14T21:12:30.0000000Z,1704,MNQ 12-25,BEAR,24730.25,24730.25,1,-4,0_0_0
2025-11-14 15:50:30.000,2025-11-14T21:50:30.0000000Z,1780,MNQ 12-25,BULL,24716,24716,1,1.1035154037875654,15_15_15
2025-11-14 16:02:00.000,2025-11-14T22:02:00.0000000Z,1803,MNQ 12-25,BEAR,24709,24709,1,-4,0_0_0
2025-11-14 16:06:00.000,2025-11-14T22:06:00.0000000Z,1811,MNQ 12-25,BULL,24745.75,24745.75,1,1.2502113768859293,15_15_15
2025-11-14 16:13:00.000,2025-11-14T22:13:00.0000000Z,1825,MNQ 12-25,BEAR,24724,24724,1,-4,0_0_0
2025-11-14 16:20:30.000,2025-11-14T22:20:30.0000000Z,1840,MNQ 12-25,BULL,24759.25,24759.25,1,1.1285653682779202,15_15_15
2025-11-14 16:27:00.000,2025-11-14T22:27:00.0000000Z,1853,MNQ 12-25,BEAR,24735.25,24735.25,1,-4,0_0_0
2025-11-14 16:38:30.000,2025-11-14T22:38:30.0000000Z,1876,MNQ 12-25,BULL,24791,24791,1,2.5,15_15_15
2025-11-14 17:06:00.000,2025-11-14T23:06:00.0000000Z,1931,MNQ 12-25,BEAR,24911.75,24911.75,1,-4,2_2_3
2025-11-14 17:08:00.000,2025-11-14T23:08:00.0000000Z,1935,MNQ 12-25,BULL,24983.25,24983.25,1,4.0771340121966517,15_15_15
2025-11-14 17:10:30.000,2025-11-14T23:10:30.0000000Z,1940,MNQ 12-25,BEAR,24923.75,24923.75,1,-4,2_2_3
2025-11-14 17:18:00.000,2025-11-14T23:18:00.0000000Z,1955,MNQ 12-25,BULL,24970.25,24970.25,1,2.4632467722454301,15_15_15
2025-11-14 17:24:30.000,2025-11-14T23:24:30.0000000Z,1968,MNQ 12-25,BEAR,24919.5,24919.5,1,-4,0_0_0
2025-11-14 17:28:30.000,2025-11-14T23:28:30.0000000Z,1976,MNQ 12-25,BULL,24981,24981,1,3.8309035217643457,15_15_15
2025-11-14 19:27:00.000,2025-11-15T01:27:00.0000000Z,2213,MNQ 12-25,BEAR,25253.25,25253.25,1,-4,0_0_0
2025-11-14 19:37:30.000,2025-11-15T01:37:30.0000000Z,2234,MNQ 12-25,BULL,25256.5,25256.5,1,1.169506502764718,15_11_9
2025-11-14 19:45:00.000,2025-11-15T01:45:00.0000000Z,2249,MNQ 12-25,BEAR,25245.5,25245.5,1,-4,0_0_0
2025-11-14 20:13:30.000,2025-11-15T02:13:30.0000000Z,2306,MNQ 12-25,BULL,25187,25187,1,1.0375658510852541,13_13_13
2025-11-14 20:19:30.000,2025-11-15T02:19:30.0000000Z,2318,MNQ 12-25,BEAR,25164.75,25164.75,1,-4,0_0_0
2025-11-14 20:51:30.000,2025-11-15T02:51:30.0000000Z,2382,MNQ 12-25,BULL,25130,25130,1,1,11_11_11
2025-11-14 22:28:30.000,2025-11-15T04:28:30.0000000Z,2576,MNQ 12-25,BEAR,25129.25,25129.25,1,-3,0_0_0
2025-11-14 22:35:00.000,2025-11-15T04:35:00.0000000Z,2589,MNQ 12-25,BULL,25160,25160,1,2.4322288480439394,12_12_12
2025-11-14 22:41:30.000,2025-11-15T04:41:30.0000000Z,2602,MNQ 12-25,BEAR,25119.75,25119.75,1,-4,0_0_0
2025-11-14 23:08:30.000,2025-11-15T05:08:30.0000000Z,2656,MNQ 12-25,BULL,25116,25116,1,3.7178475092389718,15_15_15
2025-11-17 02:20:00.000,2025-11-17T08:20:00.0000000Z,2919,MNQ 12-25,BEAR,25132.25,25132.25,1,-3,0_0_0
2025-11-17 02:29:30.000,2025-11-17T08:29:30.0000000Z,2938,MNQ 12-25,BULL,25165.5,25165.5,1,3.4152340368613325,15_15_15
