ts_local,event_type,bar_index,signal_type,action_reason,notes
2025-11-19 01:06:00.000,PLOT,11,BULL,Triangle drawn on chart,netflow=2.30
2025-11-19 01:06:30.000,LOGGED,12,BULL,Written to signals CSV,"price=24594.00,netflow=2.30"
2025-11-19 01:15:00.000,PLOT,29,BEAR,Triangle drawn on chart,netflow=-1.50
2025-11-19 01:15:30.000,LOGGED,30,BEAR,Written to signals CSV,"price=24584.25,netflow=-1.50"
2025-11-19 01:16:00.000,PLOT,31,BULL,Triangle drawn on chart,netflow=0.86
2025-11-19 01:16:30.000,LOGGED,32,BULL,Written to signals CSV,"price=24594.00,netflow=0.86"
2025-11-19 01:36:30.000,PLOT,72,BEAR,Triangle drawn on chart,netflow=-2.50
2025-11-19 01:37:00.000,LOGGED,73,BEAR,Written to signals CSV,"price=24610.50,netflow=-2.50"
2025-11-19 02:42:30.000,PLOT,204,BULL,Triangle drawn on chart,netflow=3.83
2025-11-19 02:43:00.000,LOGGED,205,BULL,Written to signals CSV,"price=24548.00,netflow=3.83"
2025-11-19 03:00:00.000,PLOT,239,BEAR,Triangle drawn on chart,netflow=-0.50
2025-11-19 03:00:30.000,LOGGED,240,BEAR,Written to signals CSV,"price=24556.25,netflow=-0.50"
2025-11-19 03:01:00.000,PLOT,241,BULL,Triangle drawn on chart,netflow=-3.00
2025-11-19 03:01:30.000,LOGGED,242,BULL,Written to signals CSV,"price=24547.75,netflow=-3.00"
2025-11-19 03:01:30.000,PLOT,242,BEAR,Triangle drawn on chart,netflow=-3.00
2025-11-19 03:02:00.000,LOGGED,243,BEAR,Written to signals CSV,"price=24549.50,netflow=-3.00"
2025-11-19 03:16:00.000,PLOT,271,BULL,Triangle drawn on chart,netflow=1.00
2025-11-19 03:16:30.000,LOGGED,272,BULL,Written to signals CSV,"price=24540.00,netflow=1.00"
2025-11-19 03:37:30.000,PLOT,314,BEAR,Triangle drawn on chart,netflow=-1.00
2025-11-19 03:38:00.000,LOGGED,315,BEAR,Written to signals CSV,"price=24590.50,netflow=-1.00"
2025-11-19 03:38:30.000,PLOT,316,BULL,Triangle drawn on chart,netflow=-0.50
2025-11-19 03:39:00.000,LOGGED,317,BULL,Written to signals CSV,"price=24596.50,netflow=-0.50"
2025-11-19 03:40:00.000,PLOT,319,BEAR,Triangle drawn on chart,netflow=-3.00
2025-11-19 03:40:30.000,LOGGED,320,BEAR,Written to signals CSV,"price=24572.50,netflow=-3.00"
2025-11-19 03:46:30.000,PLOT,332,BULL,Triangle drawn on chart,netflow=-2.50
2025-11-19 03:47:00.000,LOGGED,333,BULL,Written to signals CSV,"price=24588.25,netflow=-2.50"
2025-11-19 03:49:00.000,PLOT,337,BEAR,Triangle drawn on chart,netflow=-1.42
2025-11-19 03:49:30.000,LOGGED,338,BEAR,Written to signals CSV,"price=24583.75,netflow=-1.42"
2025-11-19 04:02:00.000,PLOT,363,BULL,Triangle drawn on chart,netflow=2.33
2025-11-19 04:02:30.000,LOGGED,364,BULL,Written to signals CSV,"price=24589.75,netflow=2.33"
2025-11-19 04:21:30.000,PLOT,402,BEAR,Triangle drawn on chart,netflow=-1.00
2025-11-19 04:22:00.000,LOGGED,403,BEAR,Written to signals CSV,"price=24601.75,netflow=-1.00"
2025-11-19 04:25:30.000,PLOT,410,BULL,Triangle drawn on chart,netflow=-1.00
2025-11-19 04:26:00.000,LOGGED,411,BULL,Written to signals CSV,"price=24606.25,netflow=-1.00"
2025-11-19 04:50:00.000,PLOT,459,BEAR,Triangle drawn on chart,netflow=-1.50
2025-11-19 04:50:30.000,LOGGED,460,BEAR,Written to signals CSV,"price=24633.00,netflow=-1.50"
2025-11-19 04:53:00.000,PLOT,465,BULL,Triangle drawn on chart,netflow=-1.00
2025-11-19 04:53:30.000,LOGGED,466,BULL,Written to signals CSV,"price=24636.25,netflow=-1.00"
2025-11-19 04:55:00.000,PLOT,469,BEAR,Triangle drawn on chart,netflow=-1.00
2025-11-19 04:55:30.000,LOGGED,470,BEAR,Written to signals CSV,"price=24631.75,netflow=-1.00"
2025-11-19 04:56:00.000,PLOT,471,BULL,Triangle drawn on chart,netflow=0.69
2025-11-19 04:56:30.000,LOGGED,472,BULL,Written to signals CSV,"price=24638.25,netflow=0.69"
2025-11-19 05:10:00.000,PLOT,499,BEAR,Triangle drawn on chart,netflow=-1.00
2025-11-19 05:10:30.000,LOGGED,500,BEAR,Written to signals CSV,"price=24633.00,netflow=-1.00"
2025-11-19 06:17:00.000,PLOT,633,BULL,Triangle drawn on chart,netflow=-0.50
2025-11-19 06:17:30.000,LOGGED,634,BULL,Written to signals CSV,"price=24537.25,netflow=-0.50"
2025-11-19 06:20:30.000,PLOT,640,BEAR,Triangle drawn on chart,netflow=1.36
2025-11-19 06:21:00.000,LOGGED,641,BEAR,Written to signals CSV,"price=24536.50,netflow=1.36"
2025-11-19 06:21:00.000,PLOT,641,BULL,Triangle drawn on chart,netflow=1.51
2025-11-19 06:21:30.000,LOGGED,642,BULL,Written to signals CSV,"price=24538.50,netflow=1.51"
2025-11-19 06:27:00.000,PLOT,653,BEAR,Triangle drawn on chart,netflow=1.35
2025-11-19 06:27:30.000,LOGGED,654,BEAR,Written to signals CSV,"price=24542.75,netflow=1.35"
2025-11-19 06:27:30.000,PLOT,654,BULL,Triangle drawn on chart,netflow=1.50
2025-11-19 06:28:00.000,LOGGED,655,BULL,Written to signals CSV,"price=24545.00,netflow=1.50"
2025-11-19 06:31:30.000,PLOT,662,BEAR,Triangle drawn on chart,netflow=-3.00
2025-11-19 06:32:00.000,LOGGED,663,BEAR,Written to signals CSV,"price=24530.00,netflow=-3.00"
2025-11-19 06:43:30.000,PLOT,686,BULL,Triangle drawn on chart,netflow=-0.34
2025-11-19 06:44:00.000,LOGGED,687,BULL,Written to signals CSV,"price=24529.75,netflow=-0.34"
2025-11-19 06:47:00.000,PLOT,693,BEAR,Triangle drawn on chart,netflow=-1.84
2025-11-19 06:47:30.000,LOGGED,694,BEAR,Written to signals CSV,"price=24529.75,netflow=-1.84"
2025-11-19 06:48:00.000,PLOT,695,BULL,Triangle drawn on chart,netflow=1.67
2025-11-19 06:48:30.000,LOGGED,696,BULL,Written to signals CSV,"price=24540.00,netflow=1.67"
2025-11-19 06:51:00.000,PLOT,701,BEAR,Triangle drawn on chart,netflow=1.56
2025-11-19 06:51:30.000,LOGGED,702,BEAR,Written to signals CSV,"price=24538.50,netflow=1.56"
2025-11-19 06:51:30.000,PLOT,702,BULL,Triangle drawn on chart,netflow=1.74
2025-11-19 06:52:00.000,LOGGED,703,BULL,Written to signals CSV,"price=24541.50,netflow=1.74"
2025-11-19 06:57:30.000,PLOT,714,BEAR,Triangle drawn on chart,netflow=-3.00
2025-11-19 06:58:00.000,LOGGED,715,BEAR,Written to signals CSV,"price=24527.50,netflow=-3.00"
2025-11-19 07:02:00.000,PLOT,723,BULL,Triangle drawn on chart,netflow=-3.00
2025-11-19 07:02:30.000,LOGGED,724,BULL,Written to signals CSV,"price=24533.25,netflow=-3.00"
2025-11-19 07:02:30.000,PLOT,724,BEAR,Triangle drawn on chart,netflow=-1.00
2025-11-19 07:03:00.000,LOGGED,725,BEAR,Written to signals CSV,"price=24534.50,netflow=-1.00"
2025-11-19 07:03:00.000,PLOT,725,BULL,Triangle drawn on chart,netflow=-1.00
2025-11-19 07:03:30.000,LOGGED,726,BULL,Written to signals CSV,"price=24534.75,netflow=-1.00"
2025-11-19 07:04:00.000,PLOT,727,BEAR,Triangle drawn on chart,netflow=-0.50
2025-11-19 07:04:30.000,LOGGED,728,BEAR,Written to signals CSV,"price=24535.00,netflow=-0.50"
2025-11-19 07:04:30.000,PLOT,728,BULL,Triangle drawn on chart,netflow=0.74
2025-11-19 07:05:00.000,LOGGED,729,BULL,Written to signals CSV,"price=24539.75,netflow=0.74"
2025-11-19 07:09:00.000,PLOT,737,BEAR,Triangle drawn on chart,netflow=-4.00
2025-11-19 07:09:30.000,LOGGED,738,BEAR,Written to signals CSV,"price=24530.00,netflow=-4.00"
2025-11-19 07:10:00.000,PLOT,739,BULL,Triangle drawn on chart,netflow=0.59
2025-11-19 07:10:30.000,LOGGED,740,BULL,Written to signals CSV,"price=24540.50,netflow=0.59"
2025-11-19 07:11:30.000,PLOT,742,BEAR,Triangle drawn on chart,netflow=-2.00
