ts_local,event_type,bar_index,signal_type,action_reason,notes
2025-11-19 01:06:00.000,PLOT,11,BULL,Triangle drawn on chart,netflow=3.30
2025-11-19 01:06:30.000,LOGGED,12,BULL,Written to signals CSV,"price=24594.00,netflow=3.30"
2025-11-19 01:15:00.000,PLOT,29,BEAR,Triangle drawn on chart,netflow=-1.50
2025-11-19 01:15:30.000,LOGGED,30,BEAR,Written to signals CSV,"price=24584.25,netflow=-1.50"
2025-11-19 01:16:00.000,PLOT,31,BULL,Triangle drawn on chart,netflow=0.86
2025-11-19 01:16:30.000,LOGGED,32,BULL,Written to signals CSV,"price=24594.00,netflow=0.86"
2025-11-19 01:36:30.000,PLOT,72,BEAR,Triangle drawn on chart,netflow=-1.50
2025-11-19 01:37:00.000,LOGGED,73,BEAR,Written to signals CSV,"price=24610.50,netflow=-1.50"
2025-11-19 02:34:30.000,PLOT,188,BULL,Triangle drawn on chart,netflow=1.43
2025-11-19 02:35:00.000,LOGGED,189,BULL,Written to signals CSV,"price=24543.00,netflow=1.43"
2025-11-19 02:35:00.000,PLOT,189,BEAR,Triangle drawn on chart,netflow=-1.01
2025-11-19 02:35:30.000,LOGGED,190,BEAR,Written to signals CSV,"price=24530.25,netflow=-1.01"
2025-11-19 02:42:30.000,PLOT,204,BULL,Triangle drawn on chart,netflow=4.83
2025-11-19 02:43:00.000,LOGGED,205,BULL,Written to signals CSV,"price=24548.00,netflow=4.83"
2025-11-19 03:01:00.000,PLOT,241,BEAR,Triangle drawn on chart,netflow=-2.00
2025-11-19 03:01:30.000,LOGGED,242,BEAR,Written to signals CSV,"price=24547.75,netflow=-2.00"
2025-11-19 03:16:00.000,PLOT,271,BULL,Triangle drawn on chart,netflow=2.00
2025-11-19 03:16:30.000,LOGGED,272,BULL,Written to signals CSV,"price=24540.00,netflow=2.00"
2025-11-19 03:16:30.000,PLOT,272,BEAR,Triangle drawn on chart,netflow=3.36
2025-11-19 03:17:00.000,LOGGED,273,BEAR,Written to signals CSV,"price=24544.50,netflow=3.36"
2025-11-19 03:17:00.000,PLOT,273,BULL,Triangle drawn on chart,netflow=3.50
2025-11-19 03:17:30.000,LOGGED,274,BULL,Written to signals CSV,"price=24543.25,netflow=3.50"
2025-11-19 03:37:00.000,PLOT,313,BEAR,Triangle drawn on chart,netflow=-2.00
2025-11-19 03:37:30.000,LOGGED,314,BEAR,Written to signals CSV,"price=24580.00,netflow=-2.00"
2025-11-19 03:38:30.000,PLOT,316,BULL,Triangle drawn on chart,netflow=0.50
2025-11-19 03:39:00.000,LOGGED,317,BULL,Written to signals CSV,"price=24596.50,netflow=0.50"
2025-11-19 03:39:00.000,PLOT,317,BEAR,Triangle drawn on chart,netflow=0.00
2025-11-19 03:39:30.000,LOGGED,318,BEAR,Written to signals CSV,"price=24595.75,netflow=0.00"
