Performance,All trades,Long trades,Short trades,
Total net profit,$217.00,$422.50,($205.50),
Gross profit,$560.50,$481.00,$79.50,
Gross loss,($343.50),($58.50),($285.00),
Commission,$0.00,$0.00,$0.00,
Profit factor,1.63,8.22,0.28,
Max. drawdown,($115.50),($51.00),($234.50),
Sharpe ratio,2.33,4.88,-2.27,
Sortino ratio,1.00,1.00,-7.52,
Ulcer index,0.00,0.00,0.00,
Total Fees,$0.00,$0.00,$0.00,
Probability,18.13%,1.61%,98.54%,
,,,,
Start date,12/7/2025,,,
Start time,12:00 AM,,,
End date,12/12/2025,,,
End time,12:00 AM,,,
,,,,
Total # of trades,31,12,19,
Percent profitable,41.94%,66.67%,26.32%,
# of winning trades,13,8,5,
# of losing trades,17,3,14,
# of even trades,1,1,0,
,,,,
Avg. trade,$7.00,$35.21,($10.82),
Avg. winning trade,$43.12,$60.13,$15.90,
Avg. losing trade,($20.21),($19.50),($20.36),
Ratio avg. win / avg. loss,2.13,3.08,0.78,
,,,,
Max. consec. winners,4,3,1,
Max. consec. losers,5,2,7,
Largest winning trade,$145.00,$145.00,$29.00,
Largest losing trade,($40.00),($40.00),($40.00),
,,,,
Avg. # of trades per day,11.23,8.69,6.88,
Avg. time in market,4.13 min,5.17 min,3.47 min,
Profit per month,$1654.63,$6443.13,($1566.94),
Max. time to recover,2.07 days,0.69 days,3.14 days,
Longest flat period,1364.00 min,802.00 min,1364.00 min,
,,,,
Avg. MAE,$13.85,$7.71,$17.74,
Avg. MFE,$46.15,$68.33,$32.13,
Avg. ETD,$39.15,$33.13,$42.95,
