Performance,All trades,Long trades,Short trades,
Total net profit,$1968.00,$692.00,$1276.00,
Gross profit,$2484.00,$912.00,$1572.00,
Gross loss,($516.00),($220.00),($296.00),
Commission,$0.00,$0.00,$0.00,
Profit factor,4.81,4.15,5.31,
Max. drawdown,($80.00),($71.00),($54.00),
Sharpe ratio,2.03,1.90,1.96,
Sortino ratio,1.00,1.00,1.00,
Ulcer index,0.00,0.00,0.00,
Total Fees,$0.00,$0.00,$0.00,
Probability,0.05%,0.89%,0.63%,
,,,,
Start date,12/8/2025,,,
Start time,12:00 AM,,,
End date,12/13/2025,,,
End time,12:00 AM,,,
,,,,
Total # of trades,63,26,37,
Percent profitable,60.32%,61.54%,59.46%,
# of winning trades,38,16,22,
# of losing trades,25,10,15,
# of even trades,0,0,0,
,,,,
Avg. trade,$31.24,$26.62,$34.49,
Avg. winning trade,$65.37,$57.00,$71.45,
Avg. losing trade,($20.64),($22.00),($19.73),
Ratio avg. win / avg. loss,3.17,2.59,3.62,
,,,,
Max. consec. winners,6,5,5,
Max. consec. losers,3,3,2,
Largest winning trade,$380.50,$150.00,$380.50,
Largest losing trade,($40.00),($40.00),($40.00),
,,,,
Avg. # of trades per day,18.25,7.53,10.72,
Avg. time in market,9.21 min,8.38 min,9.78 min,
Profit per month,$12004.80,$4221.20,$7783.60,
Max. time to recover,1.42 days,0.79 days,1.44 days,
Longest flat period,1424.00 min,2.53 days,1424.00 min,
,,,,
Avg. MAE,$11.78,$10.96,$12.35,
Avg. MFE,$87.60,$68.94,$100.70,
Avg. ETD,$56.36,$42.33,$66.22,
