ts,method,bip,state,instrument,account,msg
2025-11-18 23:06:44.347,RefreshDynamicParameters,0,DataLoaded,MNQ 12-25,Sim101,2_11/18/2025 1:00:30 AM DynSizing -> TA:42 SL:21 QtyA:5 QtyB:5 (UseVol=False)
2025-11-18 23:06:45.803,ManageRunnerStopsCompact,0,Historical,MNQ 12-25,Sim101,[RunnerArm] LAopen=False LAmode=False SAopen=False SAmode=False armedLB=True armedSB=True RunnerTrailsWithA=True activeQtyA=5
2025-11-18 23:11:11.535,OnStateChange,0,Realtime,MNQ 12-25,Sim101,100_[RealtimeStart] nowUtc=2025-11-18T21:11:11.5337105Z CD_longRem=0.0s CD_shortRem=0.0s
2025-11-18 23:11:11.537,OnStateChange,0,Realtime,MNQ 12-25,Sim101,Test line at 2025-11-18T23:07:00.0000000
2025-11-18 23:11:59.859,RefreshDynamicParameters,0,Realtime,MNQ 12-25,Sim101,2_11/18/2025 11:12:30 PM DynSizing -> TA:42 SL:81 QtyA:5 QtyB:5 (UseVol=False)
2025-11-18 23:18:10.973,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/18/2025 11:18:10 PM ENTRY , ShortA , Action=SellShort , State=Submitted , Qty=5 Filled=0 , Avg=0 , Err=NoError "
2025-11-18 23:18:11.022,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/18/2025 11:18:10 PM ENTRY , ShortB , Action=SellShort , State=Submitted , Qty=5 Filled=0 , Avg=0 , Err=NoError "
2025-11-18 23:18:11.023,OnBarUpdate,0,Realtime,MNQ 12-25,Sim101,[TEST] Submitted SHORT A/B 5+5
2025-11-18 23:18:11.083,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/18/2025 11:18:11 PM ENTRY , ShortA , Action=SellShort , State=Accepted , Qty=5 Filled=0 , Avg=0 , Err=NoError "
2025-11-18 23:18:11.083,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/18/2025 11:18:11 PM ENTRY , ShortA , Action=SellShort , State=Working , Qty=5 Filled=0 , Avg=0 , Err=NoError "
2025-11-18 23:18:11.085,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/18/2025 11:18:11 PM ENTRY , ShortA , Action=SellShort , State=PartFilled , Qty=5 Filled=3 , Avg=24549.25 , Err=NoError "
2025-11-18 23:18:11.100,OnExecutionUpdate,0,Realtime,MNQ 12-25,Sim101,[LegQtyExec] o=ShortA From= execQty=3 LA=0 LB=0 SA=3 SB=0 posQty=3
2025-11-18 23:18:11.132,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/18/2025 11:18:11 PM ENTRY , ShortB , Action=SellShort , State=Accepted , Qty=5 Filled=0 , Avg=0 , Err=NoError "
2025-11-18 23:18:11.134,ArmOrTightenStop,0,Realtime,MNQ 12-25,Sim101,[EnsureA-Fixed] ShortA SL_A -> 24569.5
2025-11-18 23:18:11.146,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/18/2025 11:18:11 PM ENTRY , ShortB , Action=SellShort , State=Working , Qty=5 Filled=0 , Avg=0 , Err=NoError "
2025-11-18 23:18:11.165,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:18:11 PM , SL_A , FromEntry=ShortA , State=Submitted , Lmt=0 Stp=24569.5 , Qty=3 Filled=0 , Error=NoError "
2025-11-18 23:18:11.166,ArmOrTightenStop,0,Realtime,MNQ 12-25,Sim101,[EnsureA-Fixed] ShortA SL_A -> 24569.5
2025-11-18 23:18:11.221,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/18/2025 11:18:11 PM ENTRY , ShortA , Action=SellShort , State=Filled , Qty=5 Filled=5 , Avg=24549.15 , Err=NoError "
2025-11-18 23:18:11.224,OnExecutionUpdate,0,Realtime,MNQ 12-25,Sim101,[LegQtyExec] o=ShortA From= execQty=2 LA=0 LB=0 SA=5 SB=0 posQty=5
2025-11-18 23:18:11.237,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:18:11 PM , SL_A , FromEntry=ShortA , State=CancelPending , Lmt=0 Stp=24569.5 , Qty=3 Filled=0 , Error=NoError "
2025-11-18 23:18:11.280,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:18:11 PM , SL_A , FromEntry=ShortA , State=CancelPending , Lmt=0 Stp=24569.5 , Qty=3 Filled=0 , Error=NoError "
2025-11-18 23:18:11.282,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:18:11 PM , SL_A , FromEntry=ShortA , State=CancelSubmitted , Lmt=0 Stp=24569.5 , Qty=3 Filled=0 , Error=NoError "
2025-11-18 23:18:11.283,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:18:11 PM , SL_A , FromEntry=ShortA , State=Accepted , Lmt=0 Stp=24569.5 , Qty=3 Filled=0 , Error=NoError "
2025-11-18 23:18:11.301,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:18:11 PM , PT_A , FromEntry=ShortA , State=Submitted , Lmt=24538.75 Stp=24569.75 , Qty=5 Filled=0 , Error=NoError "
2025-11-18 23:18:11.303,OnExecutionUpdate,0,Realtime,MNQ 12-25,Sim101,"29,11/18/2025 11:18:11 PM ShortA FULL fill @ 24549.15 , PT_A=24538.75 SL_A=24569.5 , dynTA=42 dynSLTicks=81"
2025-11-18 23:18:11.307,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/18/2025 11:18:11 PM ENTRY , ShortB , Action=SellShort , State=PartFilled , Qty=5 Filled=3 , Avg=24549.25 , Err=NoError "
2025-11-18 23:18:11.313,OnExecutionUpdate,0,Realtime,MNQ 12-25,Sim101,[LegQtyExec] o=ShortB From= execQty=3 LA=0 LB=0 SA=5 SB=3 posQty=8
2025-11-18 23:18:11.360,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:18:11 PM , SL_B , FromEntry=ShortB , State=Submitted , Lmt=0 Stp=24569.5 , Qty=3 Filled=0 , Error=NoError "
2025-11-18 23:18:11.361,ArmOrTightenStop,0,Realtime,MNQ 12-25,Sim101,[EnsureB-Fixed] ShortB SL_B -> 24569.5
2025-11-18 23:18:11.412,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:18:11 PM , PT_A , FromEntry=ShortA , State=Accepted , Lmt=24538.75 Stp=24569.75 , Qty=5 Filled=0 , Error=NoError "
2025-11-18 23:18:11.415,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:18:11 PM , PT_A , FromEntry=ShortA , State=Working , Lmt=24538.75 Stp=24569.75 , Qty=5 Filled=0 , Error=NoError "
2025-11-18 23:18:11.421,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/18/2025 11:18:11 PM ENTRY , ShortB , Action=SellShort , State=Filled , Qty=5 Filled=5 , Avg=24549.15 , Err=NoError "
2025-11-18 23:18:11.423,OnExecutionUpdate,0,Realtime,MNQ 12-25,Sim101,[LegQtyExec] o=ShortB From= execQty=2 LA=0 LB=0 SA=5 SB=5 posQty=10
2025-11-18 23:18:11.426,OnExecutionUpdate,0,Realtime,MNQ 12-25,Sim101,"31,11/18/2025 11:18:11 PM ShortB FULL fill @ 24549.15 , SL_B init=24569.5 , dynSLTicks=81 , armed=False"
2025-11-18 23:18:11.464,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerArm] LAopen=False LAmode=False SAopen=True SAmode=False armedLB=False armedSB=False RunnerTrailsWithA=True activeQtyA=5
2025-11-18 23:18:11.475,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:18:11 PM , SL_B , FromEntry=ShortB , State=Accepted , Lmt=0 Stp=24569.5 , Qty=3 Filled=0 , Error=NoError "
2025-11-18 23:18:11.479,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:18:11 PM , SL_A , FromEntry=ShortA , State=Submitted , Lmt=0 Stp=24569.5 , Qty=5 Filled=0 , Error=NoError "
2025-11-18 23:18:11.480,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"49,11/18/2025 11:18:11 PM SL_A cancelled but leg still open for ShortA. Re-submitted stop at 24569.5."
2025-11-18 23:18:11.480,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:18:11 PM , SL_A , FromEntry=ShortA , State=Cancelled , Lmt=0 Stp=24569.5 , Qty=3 Filled=0 , Error=NoError "
2025-11-18 23:18:11.582,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:18:11 PM , SL_A , FromEntry=ShortA , State=Accepted , Lmt=0 Stp=24569.5 , Qty=5 Filled=0 , Error=NoError "
2025-11-18 23:21:11.832,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:11 PM , PT_A , FromEntry=ShortA , State=CancelPending , Lmt=24538.75 Stp=24565 , Qty=5 Filled=0 , Error=NoError "
2025-11-18 23:21:11.841,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:11 PM , PT_A , FromEntry=ShortA , State=CancelSubmitted , Lmt=24538.75 Stp=24564.75 , Qty=5 Filled=0 , Error=NoError "
2025-11-18 23:21:11.931,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:11 PM , SL_A , FromEntry=ShortA , State=ChangePending , Lmt=0 Stp=24569.5 , Qty=5 Filled=0 , Error=NoError "
2025-11-18 23:21:12.301,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:11 PM , SL_A , FromEntry=ShortA , State=ChangeSubmitted , Lmt=0 Stp=24548 , Qty=5 Filled=0 , Error=NoError "
2025-11-18 23:21:12.322,ArmOrTightenStop,0,Realtime,MNQ 12-25,Sim101,[A-TimeTrail] ShortA SL_A -> 24548
2025-11-18 23:21:12.359,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:12 PM , PT_A , FromEntry=ShortA , State=Cancelled , Lmt=24538.75 Stp=24564.75 , Qty=5 Filled=0 , Error=NoError "
2025-11-18 23:21:12.401,LogAConvert,0,Realtime,MNQ 12-25,Sim101,[A-Convert] reason=time side=ShortA ticks=14 last=24544.50 stop=24548.00 distToPT=23.00 elapsed=181s t=23:21:30.000
2025-11-18 23:21:12.595,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerArm] LAopen=False LAmode=False SAopen=True SAmode=True armedLB=False armedSB=True RunnerTrailsWithA=True activeQtyA=5
2025-11-18 23:21:12.619,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:12 PM , SL_A , FromEntry=ShortA , State=Accepted , Lmt=0 Stp=24548 , Qty=5 Filled=0 , Error=NoError "
2025-11-18 23:21:12.635,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24548.25 guard=24545 prev=24569.5
2025-11-18 23:21:12.651,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:12 PM , SL_B , FromEntry=ShortB , State=ChangePending , Lmt=0 Stp=24569.5 , Qty=3 Filled=0 , Error=NoError "
