Timestamp,Bar,Action,Direction,Price,Quantity,Notes
2025-11-21 01:51:00,101,ENTRY,LONG,24152.75,1,EnterLong_Bar1|ATR=10.59|ADX=18.80|RSI=58.5|MACDH=-0.371|BW=0.0002|Accel=2.0064|GradStab=1.5704|VOL=1|VPM=2.00
2025-11-21 01:52:00,103,EXIT,LONG,24140.50,1,VALIDATION_FAILED:FastGrad<=-1.0808(need>0.15)|ATR=10.87|ADX=16.52|RSI=50.6|MACDH=-2.139|BW=0.0001|Accel=0.4574|GradStab=1.7080|VOL=1|VPM=2.00
2025-11-21 05:22:30,524,ENTRY,LONG,24175.25,1,EnterLong_Bar1|ATR=6.63|ADX=17.27|RSI=49.6|MACDH=0.210|BW=0.0001|Accel=0.0541|GradStab=0.7190|VOL=1|VPM=2.00
2025-11-21 05:25:00,529,EXIT,LONG,24179.50,1,VALIDATION_FAILED:FastGrad<=-0.2156(need>0.15)|ATR=6.84|ADX=18.22|RSI=50.9|MACDH=1.309|BW=0.0001|Accel=-1.8612|GradStab=1.0881|VOL=1|VPM=2.00
2025-11-21 05:26:30,532,ENTRY,LONG,24182.75,1,EnterLong_Bar1|ATR=6.96|ADX=15.36|RSI=54.2|MACDH=0.731|BW=0.0001|Accel=1.0959|GradStab=0.9491|VOL=1|VPM=2.00
2025-11-21 05:31:00,541,EXIT,LONG,24185.25,1,VALIDATION_FAILED:FastGrad<=-0.1085(need>0.15)|ATR=5.85|ADX=17.21|RSI=53.3|MACDH=0.064|BW=0.0001|Accel=-0.3951|GradStab=0.3440|VOL=1|VPM=2.00
2025-11-21 07:12:00,743,ENTRY,LONG,24179.75,1,EnterLong_Bar1|ATR=9.56|ADX=23.67|RSI=56.6|MACDH=-1.111|BW=0.0001|Accel=0.5503|GradStab=0.7395|VOL=1|VPM=2.00
2025-11-21 07:20:30,760,EXIT,LONG,24184.50,1,VALIDATION_FAILED:FastGrad<=-1.6786(need>0.15)|ATR=7.91|ADX=34.36|RSI=48.2|MACDH=-1.805|BW=0.0001|Accel=-1.9704|GradStab=0.9256|VOL=1|VPM=2.00
2025-11-21 09:17:00,993,ENTRY,LONG,24169.00,1,EnterLong_Bar1|ATR=7.07|ADX=20.47|RSI=49.7|MACDH=-0.247|BW=0.0001|Accel=1.6072|GradStab=0.5809|VOL=1|VPM=2.00
2025-11-21 09:20:30,1000,EXIT,LONG,24173.50,1,VALIDATION_FAILED:FastGrad<=-0.7244(need>0.15)|ATR=8.53|ADX=20.63|RSI=49.6|MACDH=1.001|BW=0.0001|Accel=-2.5208|GradStab=1.2215|VOL=1|VPM=2.00
2025-11-21 09:58:30,1076,ENTRY,SHORT,24077.25,1,EnterShort_Bar1|ATR=11.43|ADX=33.27|RSI=36.1|MACDH=1.766|BW=0.0004|Accel=-1.1251|GradStab=1.2076|VOL=1|VPM=2.00
2025-11-21 10:00:30,1080,EXIT,SHORT,24080.00,1,VALIDATION_FAILED:FastGrad>=0.0858(need<-0.15)|ATR=10.86|ADX=31.37|RSI=39.9|MACDH=2.628|BW=0.0003|Accel=0.2486|GradStab=0.9901|VOL=1|VPM=2.00
2025-11-21 11:28:30,1256,ENTRY,SHORT,24125.50,1,EnterShort_Bar1|ATR=11.30|ADX=45.88|RSI=38.6|MACDH=0.788|BW=0.0004|Accel=-0.7031|GradStab=1.1895|VOL=1|VPM=2.00
2025-11-21 11:30:30,1260,EXIT,SHORT,24133.25,1,VALIDATION_FAILED:FastGrad>=1.1158(need<-0.15)|ATR=10.85|ADX=42.08|RSI=45.9|MACDH=2.562|BW=0.0003|Accel=1.7419|GradStab=1.4576|VOL=1|VPM=2.00
2025-11-21 12:15:30,1350,ENTRY,SHORT,23968.00,1,EnterShort_Bar1|ATR=16.03|ADX=22.61|RSI=47.0|MACDH=4.694|BW=0.0000|Accel=-2.1890|GradStab=1.5482|VOL=1|VPM=2.00
