EntryTime,EntryBar,Direction,EntryPrice,ExitTime,ExitBar,ExitPrice,BarsHeld,RealizedPoints,MFE,MAE,MAE_Pct,MinAbsFastGrad,NearThresholdTouches,ExitReason
2025-11-21 18:48:30,2136,LONG,24220.25,2025-11-21 19:02:30,2164,24335.75,29,115.50,151.75,0.00,0.0000,0.713100,0,VALIDATION_FAILED:FastGrad<=-0.8858(need>0.25)
2025-11-21 01:14:30,28,LONG,24077.00,2025-11-21 01:27:00,53,24109.00,26,32.00,50.75,5.00,0.0208,1.099800,0,VALIDATION_FAILED:FastGrad<=-1.0998(need>0.25)
2025-11-21 12:31:00,1381,LONG,23933.00,2025-11-21 12:43:30,1406,24048.75,26,115.75,129.00,0.00,0.0000,0.017300,1,VALIDATION_FAILED:FastGrad<=0.0173(need>0.25)
2025-11-21 11:35:30,1270,SHORT,24122.50,2025-11-21 11:47:30,1294,24073.75,25,48.75,76.00,0.00,0.0000,0.460900,0,VALIDATION_FAILED:FastGrad>=1.0468(need<-0.25)
2025-11-21 15:12:00,1703,LONG,24194.00,2025-11-21 15:23:30,1726,24262.00,24,68.00,93.25,0.00,0.0000,0.648900,0,VALIDATION_FAILED:FastGrad<=-0.6489(need>0.25)
2025-11-21 07:31:30,782,SHORT,24172.00,2025-11-21 07:42:30,804,24141.75,23,30.25,36.50,0.00,0.0000,0.140000,1,VALIDATION_FAILED:FastGrad>=0.1400(need<-0.25)
2025-11-21 18:21:30,2082,LONG,24064.75,2025-11-21 18:32:30,2104,24156.00,23,91.25,131.50,0.00,0.0000,0.816000,0,VALIDATION_FAILED:FastGrad<=-0.8160(need>0.25)
2025-11-21 06:54:30,708,LONG,24129.25,2025-11-21 07:04:30,728,24179.75,21,50.50,68.00,0.00,0.0000,0.215700,0,VALIDATION_FAILED:FastGrad<=0.2157(need>0.25)
2025-11-21 13:07:30,1454,LONG,24103.25,2025-11-21 13:17:30,1474,24137.75,21,34.50,46.25,0.00,0.0000,0.269900,0,VALIDATION_FAILED:FastGrad<=-0.2699(need>0.25)
2025-11-21 14:31:00,1621,LONG,24128.75,2025-11-21 14:41:00,1641,24160.50,21,31.75,54.25,60.75,0.2518,0.045200,1,VALIDATION_FAILED:FastGrad<=-0.0452(need>0.25)
2025-11-21 17:58:30,2036,SHORT,24030.50,2025-11-21 18:08:00,2055,23992.75,20,37.75,83.50,17.50,0.0728,1.299000,0,VALIDATION_FAILED:FastGrad>=1.2990(need<-0.25)
2025-11-21 10:52:00,1183,LONG,24183.50,2025-11-21 11:01:00,1201,24207.75,19,24.25,28.50,0.00,0.0000,0.245100,0,VALIDATION_FAILED:FastGrad<=0.2451(need>0.25)
2025-11-21 13:47:00,1533,SHORT,24076.00,2025-11-21 13:56:00,1551,24030.00,19,46.00,60.75,0.00,0.0000,0.371900,0,VALIDATION_FAILED:FastGrad>=0.3719(need<-0.25)
2025-11-21 16:15:30,1830,SHORT,24244.00,2025-11-21 16:24:30,1848,24204.25,19,39.75,53.00,0.00,0.0000,0.145800,1,VALIDATION_FAILED:FastGrad>=0.1458(need<-0.25)
2025-11-21 10:03:30,1086,LONG,24094.75,2025-11-21 10:12:00,1103,24155.25,18,60.50,80.75,1.00,0.0042,0.029400,1,VALIDATION_FAILED:FastGrad<=-0.0294(need>0.25)
2025-11-21 18:08:30,2056,LONG,24008.25,2025-11-21 18:17:00,2073,24053.25,18,45.00,74.25,0.00,0.0000,0.616400,0,VALIDATION_FAILED:FastGrad<=-0.6164(need>0.25)
2025-11-21 17:44:00,2007,LONG,23995.50,2025-11-21 17:52:00,2023,24056.00,17,60.50,98.00,0.00,0.0000,2.013000,0,VALIDATION_FAILED:FastGrad<=-2.0130(need>0.25)
2025-11-21 01:42:30,84,LONG,24118.75,2025-11-21 01:50:00,99,24147.75,16,29.00,45.75,0.00,0.0000,0.510500,0,VALIDATION_FAILED:FastGrad<=-0.5105(need>0.25)
2025-11-21 07:13:00,745,LONG,24179.75,2025-11-21 07:20:30,760,24184.50,16,4.75,24.50,0.00,0.0000,0.478400,0,VALIDATION_FAILED:FastGrad<=-1.6786(need>0.25)
2025-11-21 13:25:30,1490,SHORT,24119.00,2025-11-21 13:33:00,1505,24092.25,16,26.75,36.75,0.00,0.0000,0.258000,0,VALIDATION_FAILED:FastGrad>=0.2580(need<-0.25)
2025-11-21 02:06:30,132,LONG,24142.00,2025-11-21 02:13:30,146,24164.00,15,22.00,34.00,0.00,0.0000,0.276400,0,VALIDATION_FAILED:FastGrad<=-0.2764(need>0.25)
2025-11-21 14:45:00,1649,LONG,24165.50,2025-11-21 14:52:00,1663,24212.00,15,46.50,84.50,0.00,0.0000,1.944700,0,VALIDATION_FAILED:FastGrad<=-1.9447(need>0.25)
2025-11-21 16:50:30,1900,LONG,24195.75,2025-11-21 16:57:00,1913,24198.25,14,2.50,85.50,4.25,0.0176,2.967100,0,VALIDATION_FAILED:FastGrad<=-6.8781(need>0.25)
2025-11-21 03:33:00,305,SHORT,24214.00,2025-11-21 03:39:00,317,24197.50,13,16.50,33.25,0.00,0.0000,0.153000,1,VALIDATION_FAILED:FastGrad>=-0.1530(need<-0.25)
2025-11-21 04:10:00,379,SHORT,24195.75,2025-11-21 04:16:00,391,24175.25,13,20.50,34.00,0.00,0.0000,0.377300,0,VALIDATION_FAILED:FastGrad>=0.3773(need<-0.25)
2025-11-21 05:52:00,583,SHORT,24212.25,2025-11-21 05:58:00,595,24206.50,13,5.75,16.50,0.00,0.0000,0.519600,0,VALIDATION_FAILED:FastGrad>=0.5196(need<-0.25)
2025-11-21 09:33:30,1026,SHORT,24182.00,2025-11-21 09:39:30,1038,24154.50,13,27.50,42.25,0.00,0.0000,0.056600,1,VALIDATION_FAILED:FastGrad>=0.0566(need<-0.25)
2025-11-21 09:52:00,1063,SHORT,24097.50,2025-11-21 09:58:00,1075,24084.00,13,13.50,27.25,0.50,0.0021,0.619600,0,VALIDATION_FAILED:FastGrad>=0.6196(need<-0.25)
