Timestamp,Bar,Direction,FastGradient,FastEMA,SlowEMA,Close,MaxFavorableMove,BarsToPeak,BlockedReason,Status
2025-11-21 01:41:30,82,SHORT,-1.3649,24112.89,24116.23,24106.75,0.00,0,"RSI<50.0(41.7) ADX:23.6 ATR:10.34 RSI:41.7 GradStab:0.824 BW:0.0001 Accel:-1.560,0,82",MISSED_FLAT
2025-11-21 01:51:00,101,LONG,0.5846,24150.12,24144.15,24152.75,0.00,0,"GradStab>1.46(1.570) ADX:18.8 ATR:10.59 RSI:58.5 GradStab:1.570 BW:0.0002 Accel:+2.006,0,101",MISSED_FLAT
2025-11-21 02:02:30,124,SHORT,-1.1707,24138.27,24139.80,24133.00,0.00,0,"ADX<18(10.5)|RSI<50.0(44.4) ADX:10.5 ATR:10.82 RSI:44.4 GradStab:0.914 BW:0.0001 Accel:-1.821,0,124",MISSED_FLAT
2025-11-21 02:36:00,191,LONG,1.0049,24186.48,24185.24,24191.00,0.00,0,"ADX<18(10.9) ADX:10.9 ATR:6.78 RSI:58.8 GradStab:0.451 BW:0.0001 Accel:+1.186,0,191",MISSED_FLAT
2025-11-21 02:41:00,201,LONG,0.5945,24189.57,24188.31,24192.25,0.00,0,"ADX<18(11.1) ADX:11.1 ATR:6.79 RSI:56.1 GradStab:0.635 BW:0.0001 Accel:+0.777,0,201",MISSED_FLAT
2025-11-21 02:48:30,216,SHORT,-0.6944,24178.37,24182.01,24175.25,0.00,0,"ADX<18(16.1)|RSI<50.0(43.3) ADX:16.1 ATR:7.82 RSI:43.3 GradStab:1.315 BW:0.0002 Accel:-1.063,0,216",MISSED_FLAT
2025-11-21 03:11:30,262,LONG,0.8466,24188.44,24187.86,24192.25,0.00,0,"ADX<18(10.0) ADX:10.0 ATR:8.85 RSI:55.3 GradStab:0.219 BW:0.0000 Accel:+0.782,0,262",MISSED_FLAT
2025-11-21 03:16:00,271,LONG,2.3134,24189.59,24188.41,24200.00,0.00,0,"ADX<18(10.8) ADX:10.8 ATR:9.62 RSI:60.2 GradStab:1.259 BW:0.0000 Accel:+2.547,0,271",MISSED_FLAT
2025-11-21 03:23:00,285,LONG,2.2703,24206.28,24202.04,24216.50,0.00,0,"ADX<18(15.7) ADX:15.7 ATR:9.17 RSI:63.9 GradStab:1.012 BW:0.0002 Accel:+2.344,0,285",MISSED_FLAT
2025-11-21 03:51:00,341,LONG,0.5350,24222.59,24220.80,24225.00,0.00,0,"ADX<18(11.5) ADX:11.5 ATR:8.22 RSI:55.3 GradStab:0.655 BW:0.0001 Accel:+0.886,0,341",MISSED_FLAT
2025-11-21 04:09:30,378,SHORT,-1.8569,24200.61,24204.20,24192.25,0.00,0,"RSI<50.0(38.0) ADX:18.5 ATR:8.45 RSI:38.0 GradStab:0.814 BW:0.0001 Accel:-2.325,0,378",MISSED_FLAT
